,City Name,Cloudiness,Humidity,Temperature,Windspeed,Latitude
144,kintinku,80,65,294.728,2.77,-5.881877999999999
145,nikolskoye,90,92,268.15,2.0,55.1981604
146,yulara,0,17,307.15,3.6,-25.2334936
147,chokurdakh,88,79,251.103,6.57,70.622169
148,kalmunai,24,100,294.853,1.62,7.414383099999999
149,banjar,12,96,295.453,1.67,31.6376776
150,kodiak,1,68,269.15,7.7,57.79000000000001
151,itarema,68,96,297.128,3.22,-2.9209642
152,coquimbo,0,68,293.15,2.1,-29.9590009
153,oxford,90,63,290.4,3.6,51.7548164
154,bonavista,64,100,267.478,7.52,48.6533449
155,deer lake,40,83,253.15,1.5,49.2356349
156,kupang,20,88,300.15,1.0,-10.1771997
157,joshimath,0,99,250.128,0.47,30.5505524
158,carnarvon,68,50,293.353,2.52,-24.884
159,margate,75,47,298.15,6.2,51.38964600000001
160,nizhneudinsk,68,78,261.203,2.82,54.9019282
161,gainesville,20,78,297.3,2.6,29.6516344
162,nago,40,100,273.7,1.0,26.5915465
163,samarai,92,100,297.878,4.62,-10.6120235
164,solnechnyy,68,67,252.628,1.47,51.2139075
165,komsomolskiy,80,88,261.128,3.52,54.434583
166,rawson,92,32,288.053,5.52,42.916432
167,henties bay,20,100,290.628,3.57,-22.1134964
168,marolambo,64,99,291.028,0.27,-20.05913
169,ust-tsilma,56,82,263.103,2.27,65.43333299999999
170,bafoulabe,0,41,293.828,5.02,13.8092603
171,jamestown,56,68,300.953,4.57,37.2116383
172,lata,12,66,270.278,1.32,36.6085904
173,mpigi,76,98,296.778,3.57,0.2273528
174,peachtree city,90,67,288.45,3.1,33.3968557
175,seoul,40,80,273.55,2.77,37.566535
176,zawadzkie,90,92,266.15,1.0,50.60435
177,mangrol,0,64,281.578,2.37,21.1171698
178,leh,24,76,240.128,0.82,34.1525864
179,siteki,76,100,293.15,2.6,-26.4417804
180,bosaso,0,100,294.878,2.57,11.2755407
181,bonthe,0,80,299.978,2.57,7.525702799999999
182,ujszilvas,75,96,272.79,1.17,47.2709483
183,bethel,90,69,275.15,6.2,40.6098147
184,khatanga,76,77,255.378,3.42,71.964027
185,castro,56,80,284.853,2.97,34.4985047
186,daru,88,50,300.128,0.47,-9.078195899999999
187,quesnel,1,66,261.15,1.17,52.9817372
188,hambantota,56,100,298.328,4.07,6.1428829
189,kahului,40,47,295.72,8.2,20.8893351
190,buala,92,88,302.453,4.47,-8.1662459
191,dalvik,36,100,270.15,1.5,65.97070029999999
192,sambava,80,100,299.778,5.92,-14.2713338
193,cuamba,92,98,292.378,3.67,-14.8000877
194,longyearbyen,75,69,275.15,8.7,78.22317220000001
195,aqtobe,48,83,252.15,2.0,50.2839339
196,saskylakh,56,80,252.928,5.32,71.954308
197,marsh harbour,88,100,296.853,7.52,26.5241653
198,catumbela,0,92,289.053,0.52,-12.4211276
199,laguna,20,41,299.15,2.6,29.4191226
200,mehamn,8,79,270.15,19.0,71.0357069
201,sao joao do paraiso,76,92,294.578,2.82,-15.3204298
202,bumba,48,68,300.303,3.07,2.1961772
203,tomatlan,0,47,299.553,1.57,19.9344504
204,oussouye,0,72,293.15,3.1,12.4884485
205,hervey bay,0,85,299.528,1.77,-25.2881539
206,lompoc,1,27,294.92,7.7,34.6391501
207,talcahuano,0,52,291.15,8.7,-36.7247834
208,esperance,20,69,299.15,2.6,-33.8608027
209,west odessa,1,18,296.19,6.2,31.8423472
210,bambanglipuro,92,98,295.478,1.82,-7.9481229
211,kamal,100,52,300.628,1.92,-7.1369962
212,kamphaeng phet,24,93,293.703,0.87,16.4827798
213,sorong,32,100,299.453,1.42,-0.8761629000000001
214,kurchum,12,54,249.078,0.42,48.5633294
215,tual,64,100,300.778,5.52,-5.626563
216,srednekolymsk,88,80,256.228,2.47,67.43730699999999
217,jurm,12,66,253.828,0.77,36.8667458
218,saint-francois,90,99,274.15,4.1,16.2542635
219,guerrero negro,0,49,294.853,4.12,27.9591758
220,eyl,92,100,295.603,5.72,7.980799599999999
221,moree,12,50,304.453,2.22,-29.465833
222,ampanihy,88,89,294.103,1.42,-24.20647
223,novoagansk,64,79,255.078,1.42,61.9431337
224,aguimes,40,72,289.15,9.3,27.9018327
225,cravo norte,0,35,304.603,3.77,6.304349999999999
226,makakilo city,40,60,297.7,7.2,21.3469444
227,srikakulam,20,100,298.828,4.12,18.2969747
228,clyde river,5,66,238.15,6.2,70.47636500000002
229,springbok,24,92,283.878,1.42,29.7586355
230,dali,0,98,278.328,1.97,27.7659901
231,conceicao do coite,68,69,299.553,6.37,-11.5576676
232,inuvik,90,85,263.08,4.1,68.3607437
233,khiri mat,20,100,293.66,1.42,16.8207716
234,port-gentil,40,88,301.15,3.1,-0.7351025999999999
235,mitsamiouli,68,100,299.428,3.57,-11.3871698
236,vernon,90,63,271.15,6.7,34.003903
237,riyadh,0,20,285.15,1.32,24.7135517
238,lebu,0,59,275.428,1.12,-37.6097143
239,ponta do sol,56,93,294.878,2.77,32.6854883
240,petropavlovsk-kamchatskiy,12,57,268.15,7.0,53.0409109
241,alofi,75,79,302.15,7.2,-19.0553711
242,tasiilaq,68,72,264.15,9.3,65.6134561
243,klaksvik,36,94,276.15,9.8,62.2271922
244,taiping,75,83,297.15,3.1,4.851932
245,north bend,1,71,282.58,9.3,47.4956579
246,puerto escondido,40,74,301.15,4.1,15.8719795
247,havoysund,0,74,272.15,7.7,70.9963394
248,dinan,20,60,275.98,5.7,37.1417922
249,tiksi,8,56,237.353,1.37,71.6374819
250,tigil,80,90,266.578,2.32,57.779388
251,gravdal,92,100,274.15,7.7,68.1203112
252,lichinga,90,100,290.15,4.1,-13.3023564
253,makokou,20,89,297.453,1.52,0.5633173
254,saint stephen,1,38,258.49,3.1,38.1873448
255,port lincoln,100,72,297.278,1.77,-34.7301943
256,san patricio,64,72,301.678,1.57,27.9999695
257,nhulunbuy,80,74,303.15,4.1,-12.1825
258,yar-sale,76,94,257.303,1.67,66.86258699999999
259,colonia,90,98,273.15,1.5,50.937531
260,adrar,0,39,281.15,3.1,27.9716342
261,aykhal,64,65,250.103,3.02,65.94171899999999
262,astana,0,84,255.15,5.0,51.16052269999999
263,codrington,0,76,299.178,1.57,17.6425736
264,buraydah,0,46,285.15,1.5,26.3592309
265,nome,90,88,291.9,2.1,64.5011111
266,malanje,0,77,293.278,2.87,-9.5418224
267,atar,48,48,283.978,3.97,20.5072923
268,presidencia roque saenz pena,75,59,306.15,7.7,-26.8004428
269,surgut,40,84,255.15,2.0,61.25595029999999
270,nagua,40,88,297.15,4.97,19.3791006
271,bolobo,36,98,296.828,1.07,-2.1587078
272,katangli,56,99,262.828,3.47,51.709626
273,north vernon,75,52,280.5,1.5,39.006165
274,san fernando,0,25,298.15,5.1,34.2819461
275,along,92,98,282.378,0.42,28.1627836
276,katihar,8,85,285.478,3.92,25.552048
277,oranjemund,92,93,290.053,1.67,-28.5597111
278,makinsk,24,77,257.878,3.97,52.6380394
279,saint george,40,87,281.15,1.17,37.0965278
280,shimoda,40,57,283.15,3.6,34.6795334
281,ribeira grande,92,99,290.278,5.22,37.8210369
282,andros town,40,69,301.15,4.6,24.7048435
283,iralaya,40,74,300.15,3.1,14.9974643
284,bida,56,91,296.628,3.57,9.0796794
285,burnie,64,95,293.628,7.07,-41.0528583
286,cayenne,0,88,296.15,1.5,4.92242
287,hami,0,63,254.978,2.92,42.81842
288,smithers,5,84,260.15,1.5,38.1812169
289,cockburn town,76,100,297.478,10.77,21.4674584
290,beloha,92,77,296.328,5.27,-25.1694494
291,padang,88,100,298.078,1.07,-0.9470831999999999
292,mocuba,92,99,294.728,1.82,-16.8402212
293,kyaikto,0,100,291.853,1.17,17.3124678
294,balabac,20,100,299.278,4.67,8.1539618
295,nurota,76,42,270.15,3.6,40.5631176
296,todos santos,20,65,299.18,5.1,23.4463619
297,carver,1,58,272.09,3.6,44.76339429999999
298,upernavik,0,100,250.103,4.87,72.7862882
299,kashary,92,94,271.778,6.92,49.0371038
300,vagur,80,97,280.428,14.32,61.47617090000001
301,birobidzhan,44,81,258.728,2.22,48.78035740000001
302,tuatapere,80,89,291.078,2.42,-46.1357909
303,indianola,90,78,262.15,9.3,41.3580484
304,ketchikan,1,43,275.15,4.6,55.34222219999999
305,tsaratanana,76,90,294.178,1.62,-16.7918481
306,katiola,0,35,296.953,4.07,8.1402266
307,paamiut,64,100,264.478,6.32,61.99411509999999
308,corowa,24,35,303.15,4.6,-35.983333
309,kindu,88,98,294.353,1.42,-2.9492205
310,yermakovskoye,80,87,259.928,1.17,53.2748303
311,taree,75,65,300.15,1.27,-31.8894897
312,koshekhabl,24,88,275.953,1.22,44.8991387
313,kharp,8,42,247.853,1.77,66.79789
314,biak,64,100,299.528,1.22,-1.0381022
315,graham,40,53,283.05,1.5,47.0528789
316,dubinino,76,86,261.178,1.32,55.6184652
317,teya,75,65,301.15,5.1,41.4964205
318,bondoukou,12,64,294.878,0.82,8.0478831
319,kroya,0,94,295.853,1.12,-7.6331351
320,los llanos de aridane,64,82,289.15,5.7,28.6183515
321,maua,48,82,285.103,1.07,-23.668163
322,nueva loja,0,55,304.15,2.1,0.0851034
323,murgab,20,73,268.15,2.1,38.1869138
324,agua dulce,40,73,296.15,5.1,34.4963817
325,monrovia,20,94,298.15,4.62,34.1442616
326,hualmay,0,79,294.478,2.12,-11.0883431
327,imeni poliny osipenko,56,63,250.878,2.07,52.416667
328,bosobolo,8,83,294.228,1.52,4.1874673
329,yumen,8,59,254.378,4.37,40.29184300000001
330,saint-joseph,20,66,275.41,1.5,39.7674578
331,kerchevskiy,68,88,260.178,1.22,59.84999999999999
332,flinders,90,69,297.15,1.5,-38.474
333,qasigiannguit,75,49,255.15,5.7,68.8219742
334,suntar,88,62,247.878,2.52,43.5255486
335,jumla,0,73,262.278,1.22,29.2787765
336,vao,68,74,263.228,1.87,59.1020827
337,kendari,44,85,298.853,1.62,-3.9984597
338,moose factory,1,60,258.15,8.7,51.262486
339,grand-lahou,24,83,299.278,3.17,5.1365199
340,saint-augustin,0,95,274.15,1.0,29.9012437
341,roros,80,68,270.15,5.7,34.097579
342,puerto narino,75,94,299.15,1.5,-3.7702
343,maryville,90,67,266.02,6.7,38.6456624
344,sao joao da barra,32,97,299.778,10.77,-21.6368446
345,kavaratti,12,100,301.128,4.02,10.5593204
346,haines junction,0,79,251.728,0.72,60.7544541
347,kuna,75,39,282.68,3.1,37.6356172
348,korem,0,78,275.778,0.47,46.812042
349,vila franca do campo,40,87,288.15,2.6,37.7157269
350,kruisfontein,92,86,292.628,1.32,-33.9843356
351,igarka,80,88,260.203,4.57,67.4649215
352,calabozo,44,41,303.703,5.37,8.9180089
353,caconda,0,62,290.028,2.67,-13.7351702
354,salaga,8,52,298.628,1.42,8.5525293
355,bulgan,20,57,250.478,3.07,48.9690913
356,pisco,0,73,297.15,10.3,-13.7134562
357,rantepao,56,86,295.528,1.12,-2.9703732
358,gizo,80,87,287.15,0.5,-8.1058258
359,pringsewu,20,93,295.078,1.07,-5.3331186
360,poum,88,93,271.853,0.82,-20.2349574
361,aswan,0,39,297.15,2.6,24.088938
362,basoko,48,79,297.203,2.87,1.2408277
363,dhidhdhoo,92,97,301.453,5.67,6.888643999999999
364,iseyin,64,97,295.953,0.82,7.9764931
365,aquiraz,75,74,301.15,2.1,-3.906286399999999
366,jiamusi,0,63,255.528,3.42,46.799777
367,constitucion,90,58,287.15,3.1,-33.6022037
368,kabo,80,53,299.778,1.12,7.694929900000001
369,itoman,75,83,294.15,3.6,26.1235841
370,chapais,1,70,254.15,3.6,49.78221
371,norman wells,90,73,267.15,6.2,65.28149379999999
372,xixiang,40,77,288.78,2.1,32.983101
373,magnolia,90,71,285.46,1.97,30.2261407
374,broken hill,0,20,310.703,5.72,-31.9539135
376,angouleme,40,88,273.15,2.1,45.648377
377,zharkovskiy,76,90,267.228,3.72,55.8502008
378,vostok,80,78,262.553,1.57,46.4467186
379,marawi,8,83,295.953,1.42,8.0106213
380,prieska,68,96,290.803,1.47,-29.7069446
381,rudnya,64,85,264.828,6.27,54.948864
382,oeiras do para,76,94,298.328,3.12,-2.0050589
383,mount pleasant,90,93,287.16,4.1,32.8323225
384,moctezuma,0,25,296.953,1.32,47.2059575
385,morondava,92,100,295.553,3.92,-20.2904186
386,togur,92,81,261.353,1.32,58.3615767
387,bauta,40,73,298.15,5.7,22.9838485
388,asyut,0,86,287.553,1.22,27.1783117
389,pimenta bueno,32,89,299.278,0.57,-11.6723638
390,canutama,20,75,302.528,0.82,-6.532966
391,carauari,24,81,300.478,1.22,-4.8817618
392,am timan,0,46,294.678,1.22,11.0445821
393,gold coast,8,61,300.15,5.7,-28.016667
394,celestun,48,92,298.128,7.77,20.8593042
395,chiredzi,64,84,294.228,3.42,-21.0333486
396,souillac,0,78,273.15,2.1,44.893626
397,trincomalee,88,89,296.353,1.32,8.5873638
398,walvis bay,0,77,292.15,4.82,-22.9389587
399,svetlogorsk,40,77,254.15,3.0,54.9394562
400,san miguel de cauri,92,97,279.678,0.97,-10.10712
401,whyalla,40,69,299.15,2.6,-33.0379671
402,victoria,75,83,298.15,1.0,28.8052674
403,angoram,80,96,297.928,1.37,-4.0438672
404,pavilosta,8,100,267.12,2.6,56.886652
405,wad rawah,0,42,291.128,2.42,15.16027
406,keansburg,1,59,274.5,3.87,40.4417743
407,gull lake,1,77,254.15,8.7,42.4030613
408,torbay,90,79,267.15,4.1,50.4392329
409,karatuzskoye,88,79,260.103,1.12,53.60495719999999
410,la ronge,90,66,261.15,6.7,55.10823
411,kimparana,0,36,293.803,4.47,12.8371919
412,lebanon,90,79,266.34,1.47,33.854721
413,kisangani,80,76,297.953,1.77,0.5185303
414,wewak,92,100,297.778,1.07,-3.5800229
415,ostrovnoy,0,81,261.953,6.37,45.8124109
416,limon,75,85,268.15,7.2,39.2638762
417,hartford,90,79,270.52,3.1,41.76371109999999
418,mayo,40,61,245.15,1.22,36.1465061
419,gorontalo,12,93,297.853,1.07,0.6999371999999999
420,nanganga,76,87,295.678,2.42,-10.3931514
421,de aar,68,97,289.328,1.22,-30.6766303
422,verkhoyansk,48,65,235.628,1.17,67.5505925
423,sungairaya,64,89,297.103,2.42,-0.2467982
424,arraial do cabo,0,90,299.078,7.07,-22.9673373
425,filingue,0,42,294.803,5.32,14.350193
426,saint-pierre,90,96,273.69,3.6,46.7758459
427,basco,90,79,266.96,5.1,39.3340895
428,mendoza,0,26,300.15,3.1,-32.8894587
429,bowling green,90,70,287.66,3.1,41.3797788
430,siguiri,0,43,294.853,4.17,11.4148113
431,nortelandia,0,80,300.028,1.27,-14.3322488
432,saint-raphael,48,56,297.703,2.87,27.8028581
433,kintampo,0,55,294.053,1.07,8.0592612
434,nombre de dios,90,58,287.15,3.1,9.5777102
435,meiktila,92,77,293.303,1.17,20.8765931
436,lagoa,75,93,281.15,2.6,37.1356176
437,tucuman,20,72,290.628,1.32,-26.8221127
438,ancud,44,76,285.678,2.82,-41.8675003
439,quatre cocos,75,94,298.15,1.5,-20.201639
440,puerto madryn,92,86,288.453,7.97,-42.7694476
441,pangai,20,74,303.15,5.1,-19.811431
442,oktyabrskiy,0,73,266.15,5.0,54.4772015
443,jand,80,78,278.603,1.32,33.4364645
444,weiser,1,34,284.15,4.1,44.2509976
445,hokitika,0,83,293.978,1.37,-42.7173686
446,awbari,92,83,283.453,6.82,26.5810176
447,haysville,1,50,273.54,8.2,37.5644615
448,haverhill,1,100,273.67,4.1,42.7762015
449,batagay-alyta,76,36,241.228,1.27,67.79280899999999
450,dillon,90,91,257.15,5.1,33.6332498
